title,type,arr,posts,price,lat,lng,isFake
cultivate one-to-one systems Paris 16,PRIVATE_OFFICE,16,8,1850,48.863012,2.272203,false
deploy cutting-edge networks Paris 2,INDEPENDENT_SPACE,2,4,800,48.864993,2.338692,false
collaborate granular AI Paris 4,PRIVATE_OFFICE,4,9,850,48.858316,2.351792,true
incubate front-end experiences Paris 2,PRIVATE_OFFICE,2,4,900,48.870763,2.339995,true
unleash virtual paradigms Paris 16,PRIVATE_OFFICE,16,2,1150,48.868342,2.272860,true
syndicate scalable functionalities Paris 12,PRIVATE_OFFICE,12,9,1450,48.837520,2.397438,false
orchestrate AI-driven methodologies Paris 13,INDEPENDENT_SPACE,13,5,400,48.830929,2.360116,false
visualize B2C e-commerce Paris 4,INDEPENDENT_SPACE,4,2,550,48.854330,2.356953,false
disintermediate holistic platforms Paris 4,PRIVATE_OFFICE,4,5,800,48.854427,2.352813,false
incentivize generative schemas Paris 13,INDEPENDENT_SPACE,13,3,550,48.829973,2.354524,false
engineer B2B users Paris 6,INDEPENDENT_SPACE,6,3,450,48.854567,2.332101,false
transition granular web services Paris 16,PRIVATE_OFFICE,16,6,1550,48.863484,2.274189,false
empower turn-key niches Paris 16,INDEPENDENT_SPACE,16,3,950,48.867041,2.276245,false
grow plug-and-play infrastructures Paris 15,INDEPENDENT_SPACE,15,2,700,48.837600,2.300819,false
engineer global ROI Paris 11,OPEN_SPACE,11,32,750,48.860916,2.377862,false
deliver innovative relationships Paris 5,OPEN_SPACE,5,21,600,48.850162,2.348694,false
leverage collaborative large language models Paris 5,INDEPENDENT_SPACE,5,2,650,48.845390,2.345311,true
revolutionize bleeding-edge platforms Paris 18,INDEPENDENT_SPACE,18,1,500,48.895626,2.341674,false
synthesize leading-edge infrastructures Paris 7,OPEN_SPACE,7,45,550,48.854969,2.313788,false
implement world-class schemas Paris 4,OPEN_SPACE,4,39,950,48.858633,2.356145,false
expedite AI-driven models Paris 2,OPEN_SPACE,2,46,500,48.872374,2.340999,false
synthesize real-time lifetime value Paris 7,INDEPENDENT_SPACE,7,5,950,48.858670,2.322558,true
gamify virtual mindshare Paris 16,PRIVATE_OFFICE,16,3,1100,48.859631,2.274167,false
cultivate smart smart contracts Paris 17,OPEN_SPACE,17,22,850,48.888409,2.322665,false
seize out-of-the-box channels Paris 2,INDEPENDENT_SPACE,2,4,800,48.868984,2.344101,false
aggregate out-of-the-box interfaces Paris 9,OPEN_SPACE,9,13,550,48.879383,2.342432,false
evolve impactful architectures Paris 14,INDEPENDENT_SPACE,14,2,400,48.835362,2.327912,false
integrate compelling experiences Paris 2,PRIVATE_OFFICE,2,2,800,48.870226,2.345160,false
benchmark compelling ROI Paris 6,PRIVATE_OFFICE,6,4,1850,48.855586,2.333798,false
expedite revolutionary communities Paris 12,OPEN_SPACE,12,21,500,48.844816,2.392932,false
redefine scalable lifetime value Paris 7,INDEPENDENT_SPACE,7,4,950,48.852846,2.318213,false
redefine vertical initiatives Paris 17,INDEPENDENT_SPACE,17,4,500,48.885109,2.325629,true
mesh end-to-end communities Paris 19,INDEPENDENT_SPACE,19,2,1000,48.877831,2.380742,false
reinvent quantum markets Paris 6,PRIVATE_OFFICE,6,3,1000,48.854911,2.334185,true
collaborate sticky infrastructures Paris 7,OPEN_SPACE,7,35,900,48.858723,2.318890,true
evolve scalable infrastructures Paris 1,INDEPENDENT_SPACE,1,3,800,48.860711,2.355981,false
visualize viral applications Paris 6,PRIVATE_OFFICE,6,5,1850,48.854262,2.333038,false
maximize transparent partnerships Paris 16,PRIVATE_OFFICE,16,6,1600,48.865505,2.278101,false
empower robust relationships Paris 9,PRIVATE_OFFICE,9,3,1550,48.880533,2.340779,true
incentivize revolutionary synergies Paris 10,INDEPENDENT_SPACE,10,5,700,48.877962,2.356733,false
benchmark sustainable AI Paris 3,INDEPENDENT_SPACE,3,4,900,48.865252,2.361028,false
simplify world-class models Paris 2,INDEPENDENT_SPACE,2,1,950,48.865813,2.341531,false
transition bleeding-edge supply-chains Paris 12,INDEPENDENT_SPACE,12,1,450,48.839828,2.399784,true
embrace robust initiatives Paris 3,PRIVATE_OFFICE,3,6,1000,48.862949,2.358189,false
aggregate bleeding-edge synergies Paris 8,PRIVATE_OFFICE,8,5,1550,48.870870,2.290326,false
optimize one-to-one systems Paris 8,PRIVATE_OFFICE,8,1,1550,48.873008,2.290615,false
engineer synergistic channels Paris 7,INDEPENDENT_SPACE,7,5,700,48.858028,2.315902,false
unleash seamless applications Paris 7,PRIVATE_OFFICE,7,8,1200,48.856003,2.320331,false
enable customized architectures Paris 15,INDEPENDENT_SPACE,15,1,400,48.844153,2.293252,false
brand scalable markets Paris 12,OPEN_SPACE,12,45,750,48.842782,2.393133,true
repurpose strategic supply-chains Paris 1,PRIVATE_OFFICE,1,4,1800,48.858702,2.348744,false
empower user-centric technologies Paris 7,INDEPENDENT_SPACE,7,1,900,48.858645,2.315105,false
enable immersive markets Paris 14,INDEPENDENT_SPACE,14,4,700,48.836285,2.329674,false
aggregate leading-edge methodologies Paris 19,PRIVATE_OFFICE,19,7,1550,48.876003,2.381654,true
grow vertical communities Paris 11,INDEPENDENT_SPACE,11,1,550,48.867801,2.374251,false
enable synergistic functionalities Paris 10,OPEN_SPACE,10,35,1150,48.879583,2.359253,false
architect virtual solutions Paris 5,OPEN_SPACE,5,12,1000,48.849969,2.346007,false
integrate ubiquitous relationships Paris 7,OPEN_SPACE,7,22,750,48.852817,2.316063,false
simplify turn-key niches Paris 12,INDEPENDENT_SPACE,12,2,400,48.845181,2.397337,false
reinvent smart ROI Paris 16,INDEPENDENT_SPACE,16,2,650,48.861179,2.277721,false
generate smart AI Paris 15,PRIVATE_OFFICE,15,9,1600,48.837151,2.294504,true
transform intuitive channels Paris 1,OPEN_SPACE,1,41,500,48.853156,2.356530,false
architect enterprise metrics Paris 1,OPEN_SPACE,1,38,550,48.856794,2.351480,false
leverage plug-and-play communities Paris 19,PRIVATE_OFFICE,19,10,900,48.883017,2.384190,true
optimize sustainable mindshare Paris 11,OPEN_SPACE,11,13,850,48.862500,2.380667,false
deploy compelling interfaces Paris 4,PRIVATE_OFFICE,4,8,1300,48.857623,2.352976,true
incentivize frictionless partnerships Paris 12,PRIVATE_OFFICE,12,5,1700,48.842621,2.391939,true
enhance collaborative functionalities Paris 1,INDEPENDENT_SPACE,1,1,1000,48.854728,2.356672,false
facilitate magnetic niches Paris 2,PRIVATE_OFFICE,2,2,1700,48.865722,2.338752,false
simplify vertical models Paris 12,OPEN_SPACE,12,44,500,48.836597,2.394865,false
whiteboard killer models Paris 6,OPEN_SPACE,6,43,1150,48.853773,2.328776,false
utilize proactive niches Paris 4,OPEN_SPACE,4,19,650,48.852580,2.351715,true
streamline robust convergence Paris 15,PRIVATE_OFFICE,15,4,900,48.842008,2.302537,true
strategize visionary ROI Paris 13,PRIVATE_OFFICE,13,3,1450,48.832326,2.358097,false
engage smart synergies Paris 9,INDEPENDENT_SPACE,9,4,500,48.884403,2.337770,true
revolutionize interactive platforms Paris 4,OPEN_SPACE,4,39,950,48.854799,2.354926,false
integrate world-class models Paris 20,PRIVATE_OFFICE,20,4,850,48.869530,2.401901,false
disintermediate B2B lifetime value Paris 1,OPEN_SPACE,1,35,600,48.860122,2.353828,false
scale synergistic supply-chains Paris 14,INDEPENDENT_SPACE,14,1,900,48.832994,2.328403,false
enhance enterprise platforms Paris 5,PRIVATE_OFFICE,5,6,950,48.850353,2.342769,false
facilitate proactive deliverables Paris 13,OPEN_SPACE,13,38,850,48.835629,2.359261,true
exploit generative technologies Paris 3,INDEPENDENT_SPACE,3,5,950,48.862690,2.358409,true
synthesize value-added synergies Paris 5,INDEPENDENT_SPACE,5,2,400,48.849653,2.340107,false
maximize best-of-breed paradigms Paris 19,INDEPENDENT_SPACE,19,5,600,48.883139,2.383449,false
generate enterprise paradigms Paris 6,PRIVATE_OFFICE,6,7,950,48.856618,2.334634,true
maximize intuitive smart contracts Paris 12,INDEPENDENT_SPACE,12,1,850,48.838567,2.398298,false
syndicate plug-and-play paradigms Paris 7,OPEN_SPACE,7,14,1100,48.854032,2.319583,false
harness killer models Paris 15,PRIVATE_OFFICE,15,1,1400,48.842448,2.299585,false
streamline vertical methodologies Paris 15,OPEN_SPACE,15,26,1100,48.842946,2.299216,true
transition impactful synergies Paris 15,INDEPENDENT_SPACE,15,5,1000,48.837479,2.302276,true
grow turn-key systems Paris 13,OPEN_SPACE,13,43,750,48.831234,2.355325,false
evolve 24/7 synergies Paris 11,OPEN_SPACE,11,20,1150,48.859157,2.377120,true
gamify cross-platform mindshare Paris 18,OPEN_SPACE,18,20,650,48.889800,2.342083,false
visualize magnetic AI Paris 9,INDEPENDENT_SPACE,9,2,750,48.877655,2.336673,false
seize holistic experiences Paris 8,PRIVATE_OFFICE,8,7,1700,48.878443,2.298282,false
unleash out-of-the-box content Paris 9,INDEPENDENT_SPACE,9,2,700,48.875231,2.342021,false
extend global web services Paris 6,OPEN_SPACE,6,48,1200,48.856186,2.331422,false
deploy B2B functionalities Paris 6,OPEN_SPACE,6,48,650,48.855186,2.328512,true
revolutionize dynamic ROI Paris 9,INDEPENDENT_SPACE,9,3,750,48.876249,2.338173,false
orchestrate revolutionary interfaces Paris 19,OPEN_SPACE,19,26,550,48.884961,2.381401,true
benchmark cross-platform markets Paris 2,PRIVATE_OFFICE,2,9,1950,48.863089,2.345499,false
transition sustainable channels Paris 11,PRIVATE_OFFICE,11,3,1800,48.862740,2.382147,false
strategize end-to-end technologies Paris 9,OPEN_SPACE,9,15,500,48.877635,2.336456,false
architect quantum ROI Paris 9,INDEPENDENT_SPACE,9,5,750,48.882839,2.333486,false
visualize scalable AI Paris 4,OPEN_SPACE,4,37,950,48.859044,2.349762,false
deploy front-end convergence Paris 2,PRIVATE_OFFICE,2,1,1650,48.871792,2.343863,false
transform value-added supply-chains Paris 20,PRIVATE_OFFICE,20,2,1050,48.867379,2.393466,false
orchestrate sticky large language models Paris 7,PRIVATE_OFFICE,7,9,1100,48.852328,2.318040,false
aggregate B2C supply-chains Paris 10,INDEPENDENT_SPACE,10,5,800,48.876588,2.360987,false
transition end-to-end functionalities Paris 15,PRIVATE_OFFICE,15,1,1650,48.837454,2.294002,false
utilize world-class content Paris 4,PRIVATE_OFFICE,4,10,1350,48.855276,2.350749,true
mesh intuitive interfaces Paris 14,PRIVATE_OFFICE,14,3,1450,48.831318,2.324784,false
reinvent vertical paradigms Paris 17,PRIVATE_OFFICE,17,1,1100,48.886935,2.326153,false
revolutionize granular paradigms Paris 2,INDEPENDENT_SPACE,2,5,1000,48.864802,2.344416,false
drive seamless synergies Paris 4,PRIVATE_OFFICE,4,1,900,48.860562,2.350581,false
revolutionize end-to-end interfaces Paris 5,INDEPENDENT_SPACE,5,2,850,48.847392,2.348549,false
synthesize quantum convergence Paris 9,INDEPENDENT_SPACE,9,1,650,48.882329,2.336320,false
engineer intuitive paradigms Paris 9,PRIVATE_OFFICE,9,10,1900,48.875739,2.335406,true
cultivate strategic synergies Paris 4,OPEN_SPACE,4,22,800,48.855135,2.348265,false
monetize cross-platform infrastructures Paris 5,INDEPENDENT_SPACE,5,3,700,48.848020,2.345318,false
mesh robust supply-chains Paris 8,PRIVATE_OFFICE,8,7,1000,48.874639,2.290587,false
revolutionize robust initiatives Paris 3,INDEPENDENT_SPACE,3,4,550,48.864540,2.357904,true
optimize quantum functionalities Paris 4,OPEN_SPACE,4,19,1200,48.852183,2.357071,false
extend world-class mindshare Paris 17,PRIVATE_OFFICE,17,6,1550,48.884939,2.316529,false
gamify killer methodologies Paris 9,INDEPENDENT_SPACE,9,2,950,48.882435,2.340116,true
generate transparent content Paris 17,OPEN_SPACE,17,27,750,48.885574,2.319396,false
transform innovative large language models Paris 17,PRIVATE_OFFICE,17,2,1800,48.881788,2.316779,false
expedite enterprise AI Paris 11,INDEPENDENT_SPACE,11,2,400,48.866777,2.381587,true
innovate vertical applications Paris 7,INDEPENDENT_SPACE,7,4,800,48.853882,2.317121,false
orchestrate front-end deliverables Paris 6,OPEN_SPACE,6,12,850,48.853188,2.334192,false
optimize bleeding-edge niches Paris 11,OPEN_SPACE,11,11,550,48.862808,2.383699,false
disintermediate magnetic ROI Paris 3,OPEN_SPACE,3,48,700,48.861287,2.364048,false
collaborate bleeding-edge markets Paris 17,INDEPENDENT_SPACE,17,4,700,48.885172,2.320813,false
facilitate AI-driven lifetime value Paris 6,INDEPENDENT_SPACE,6,4,850,48.858242,2.333662,false
transition cross-media supply-chains Paris 11,INDEPENDENT_SPACE,11,1,1000,48.866346,2.374454,true
simplify seamless niches Paris 9,OPEN_SPACE,9,27,950,48.882130,2.336416,false
orchestrate global blockchains Paris 14,OPEN_SPACE,14,32,1200,48.830684,2.326841,false
utilize leading-edge AI Paris 16,OPEN_SPACE,16,43,750,48.865317,2.276118,false
incubate vertical niches Paris 6,OPEN_SPACE,6,17,1000,48.855368,2.331069,true
cultivate cross-platform experiences Paris 4,INDEPENDENT_SPACE,4,2,1000,48.854329,2.349434,false
enable robust convergence Paris 13,OPEN_SPACE,13,31,1200,48.831154,2.353421,false
repurpose generative channels Paris 20,INDEPENDENT_SPACE,20,1,900,48.867068,2.394763,false
embrace frictionless systems Paris 19,OPEN_SPACE,19,23,1100,48.883544,2.386367,false
optimize dynamic models Paris 8,OPEN_SPACE,8,17,1100,48.877316,2.296243,true
strategize value-added e-commerce Paris 8,PRIVATE_OFFICE,8,9,1750,48.875249,2.295215,false
grow innovative models Paris 19,INDEPENDENT_SPACE,19,1,550,48.880770,2.384228,false
orchestrate interactive web services Paris 3,INDEPENDENT_SPACE,3,5,550,48.863012,2.357363,false
harness 24/7 systems Paris 20,OPEN_SPACE,20,12,850,48.862926,2.398286,false
streamline intuitive e-commerce Paris 15,OPEN_SPACE,15,12,1150,48.838592,2.294551,false
harness sustainable platforms Paris 12,PRIVATE_OFFICE,12,1,1850,48.840919,2.396178,true
engineer plug-and-play metrics Paris 8,INDEPENDENT_SPACE,8,3,400,48.876680,2.292297,false
implement sustainable large language models Paris 4,PRIVATE_OFFICE,4,7,1200,48.852961,2.356127,true
repurpose world-class experiences Paris 8,PRIVATE_OFFICE,8,4,1200,48.870284,2.290554,false
monetize generative communities Paris 12,OPEN_SPACE,12,36,900,48.839616,2.390733,false
deploy 24/7 deliverables Paris 13,PRIVATE_OFFICE,13,10,1900,48.831112,2.359878,false
mesh front-end infrastructures Paris 1,PRIVATE_OFFICE,1,8,1900,48.857250,2.350631,false
synthesize viral content Paris 6,OPEN_SPACE,6,25,1150,48.851244,2.332858,false
harness innovative schemas Paris 15,PRIVATE_OFFICE,15,9,1750,48.840638,2.299169,true
exploit decentralized functionalities Paris 19,INDEPENDENT_SPACE,19,2,600,48.877354,2.380258,false
simplify impactful partnerships Paris 3,OPEN_SPACE,3,28,900,48.862856,2.364352,false
mesh visionary platforms Paris 19,PRIVATE_OFFICE,19,6,1350,48.881972,2.383938,false
seize virtual relationships Paris 7,INDEPENDENT_SPACE,7,2,900,48.858068,2.320129,false
disintermediate vertical large language models Paris 7,INDEPENDENT_SPACE,7,3,450,48.861301,2.320373,false
strategize visionary e-commerce Paris 7,OPEN_SPACE,7,11,850,48.853479,2.319188,false
productize synergistic communities Paris 6,OPEN_SPACE,6,36,1100,48.853154,2.333559,false
aggregate magnetic smart contracts Paris 5,INDEPENDENT_SPACE,5,1,400,48.845650,2.347100,false
orchestrate intuitive methodologies Paris 2,PRIVATE_OFFICE,2,4,900,48.869012,2.341035,false
syndicate world-class models Paris 18,INDEPENDENT_SPACE,18,1,950,48.888496,2.348292,false
embrace end-to-end blockchains Paris 15,PRIVATE_OFFICE,15,9,1150,48.842070,2.296002,false
repurpose out-of-the-box networks Paris 14,INDEPENDENT_SPACE,14,4,700,48.837988,2.324647,false
gamify end-to-end channels Paris 4,OPEN_SPACE,4,14,850,48.857124,2.352369,false
engage AI-driven paradigms Paris 2,OPEN_SPACE,2,19,600,48.867935,2.340384,false
orchestrate best-of-breed smart contracts Paris 12,PRIVATE_OFFICE,12,4,1150,48.841957,2.391461,true
harness one-to-one synergies Paris 17,PRIVATE_OFFICE,17,2,1250,48.880482,2.317886,true
collaborate strategic interfaces Paris 12,OPEN_SPACE,12,25,750,48.841939,2.399038,false
integrate open-source technologies Paris 3,INDEPENDENT_SPACE,3,2,600,48.865480,2.357354,true
disintermediate leading-edge networks Paris 20,PRIVATE_OFFICE,20,4,1500,48.863176,2.394447,false
repurpose distributed smart contracts Paris 6,INDEPENDENT_SPACE,6,2,700,48.850794,2.327533,false
utilize interactive convergence Paris 5,PRIVATE_OFFICE,5,8,1250,48.850853,2.341448,false
streamline quantum AI Paris 1,PRIVATE_OFFICE,1,5,1100,48.853642,2.351933,false
incubate dynamic systems Paris 1,INDEPENDENT_SPACE,1,3,600,48.858649,2.349045,true
revolutionize granular paradigms Paris 4,PRIVATE_OFFICE,4,10,1350,48.859910,2.353565,true
seize collaborative technologies Paris 14,INDEPENDENT_SPACE,14,3,500,48.836423,2.326344,false
enhance out-of-the-box supply-chains Paris 1,PRIVATE_OFFICE,1,3,1150,48.857386,2.356127,false
revolutionize extensible schemas Paris 15,PRIVATE_OFFICE,15,10,1950,48.837093,2.301316,false
transition impactful lifetime value Paris 20,OPEN_SPACE,20,16,650,48.864940,2.394875,false
transition global lifetime value Paris 19,OPEN_SPACE,19,40,1200,48.876183,2.380109,false
disintermediate global architectures Paris 4,OPEN_SPACE,4,13,900,48.853096,2.355719,false
redefine cross-media channels Paris 6,PRIVATE_OFFICE,6,10,850,48.855981,2.335393,false
deliver AI-driven web services Paris 4,OPEN_SPACE,4,40,850,48.858006,2.350104,false
integrate distributed large language models Paris 20,OPEN_SPACE,20,37,650,48.863475,2.400058,false
extend leading-edge infrastructures Paris 12,OPEN_SPACE,12,26,850,48.841658,2.393807,false
reinvent revolutionary networks Paris 9,INDEPENDENT_SPACE,9,3,800,48.876305,2.332707,true
transform customized applications Paris 13,OPEN_SPACE,13,45,650,48.834533,2.354782,false
evolve end-to-end mindshare Paris 13,OPEN_SPACE,13,20,550,48.833948,2.353758,false
engineer viral metrics Paris 12,INDEPENDENT_SPACE,12,1,700,48.838454,2.395518,false
repurpose world-class schemas Paris 20,PRIVATE_OFFICE,20,1,950,48.868802,2.400576,false
repurpose enterprise interfaces Paris 19,OPEN_SPACE,19,16,850,48.877356,2.380360,false
productize impactful models Paris 1,INDEPENDENT_SPACE,1,1,450,48.860931,2.353050,true
iterate AI-driven ROI Paris 14,OPEN_SPACE,14,46,1200,48.836785,2.330570,false
gamify real-time platforms Paris 5,PRIVATE_OFFICE,5,6,1650,48.846610,2.344632,true
architect sticky communities Paris 18,INDEPENDENT_SPACE,18,3,600,48.896570,2.343625,false
iterate cutting-edge blockchains Paris 19,PRIVATE_OFFICE,19,2,1100,48.884089,2.385401,false
innovate enterprise technologies Paris 20,OPEN_SPACE,20,28,500,48.862769,2.393604,false
facilitate integrated e-commerce Paris 18,OPEN_SPACE,18,10,1100,48.895471,2.348849,false
extend vertical smart contracts Paris 17,PRIVATE_OFFICE,17,5,1200,48.879220,2.319046,false
generate ubiquitous large language models Paris 3,INDEPENDENT_SPACE,3,3,900,48.859990,2.359547,false
transition impactful applications Paris 14,OPEN_SPACE,14,25,550,48.830596,2.328487,false
gamify extensible technologies Paris 7,PRIVATE_OFFICE,7,5,1050,48.853983,2.313762,false
deploy world-class solutions Paris 16,OPEN_SPACE,16,20,1050,48.865808,2.274130,false
engage one-to-one channels Paris 2,INDEPENDENT_SPACE,2,1,1000,48.864448,2.337321,true
transform distributed systems Paris 19,INDEPENDENT_SPACE,19,1,800,48.881379,2.386159,false
syndicate cross-platform large language models Paris 6,PRIVATE_OFFICE,6,5,1250,48.857011,2.330670,false
evolve turn-key infrastructures Paris 18,OPEN_SPACE,18,21,950,48.889838,2.343078,true
target distributed supply-chains Paris 5,INDEPENDENT_SPACE,5,2,650,48.849192,2.347588,false
maximize interactive ROI Paris 14,INDEPENDENT_SPACE,14,2,850,48.833033,2.330852,false
incubate front-end applications Paris 5,INDEPENDENT_SPACE,5,1,550,48.847714,2.347422,false
embrace efficient channels Paris 20,PRIVATE_OFFICE,20,9,1650,48.864477,2.395995,false
drive smart relationships Paris 19,OPEN_SPACE,19,15,1050,48.883247,2.382017,true
harness collaborative initiatives Paris 10,INDEPENDENT_SPACE,10,1,650,48.874460,2.363403,false
deploy value-added methodologies Paris 17,PRIVATE_OFFICE,17,8,800,48.884251,2.321403,false
brand quantum systems Paris 14,INDEPENDENT_SPACE,14,4,600,48.834522,2.322756,false
deliver plug-and-play markets Paris 19,OPEN_SPACE,19,19,1000,48.877138,2.378818,true
mesh distributed AI Paris 13,INDEPENDENT_SPACE,13,1,750,48.827876,2.360560,true
transition compelling initiatives Paris 17,PRIVATE_OFFICE,17,3,1650,48.880988,2.317289,false
enhance compelling large language models Paris 3,PRIVATE_OFFICE,3,8,1200,48.862765,2.366498,false
extend killer users Paris 2,PRIVATE_OFFICE,2,5,1550,48.866571,2.339069,false
drive world-class solutions Paris 10,INDEPENDENT_SPACE,10,2,850,48.876767,2.358842,false
cultivate mission-critical schemas Paris 5,PRIVATE_OFFICE,5,8,1250,48.843600,2.340275,false
deliver compelling metrics Paris 12,PRIVATE_OFFICE,12,4,1300,48.842026,2.391509,false
incentivize seamless synergies Paris 14,PRIVATE_OFFICE,14,10,1650,48.836853,2.329747,false
enhance visionary e-commerce Paris 3,OPEN_SPACE,3,32,1050,48.861185,2.357861,false
collaborate robust users Paris 17,INDEPENDENT_SPACE,17,2,1000,48.888587,2.318453,false
deploy ubiquitous architectures Paris 5,INDEPENDENT_SPACE,5,5,850,48.849726,2.343675,false
cultivate smart convergence Paris 19,OPEN_SPACE,19,18,1150,48.884523,2.386043,true
redefine smart architectures Paris 19,OPEN_SPACE,19,16,900,48.877173,2.378523,false
revolutionize front-end content Paris 2,PRIVATE_OFFICE,2,7,1000,48.867421,2.336942,false
reinvent open-source markets Paris 20,PRIVATE_OFFICE,20,7,1950,48.867338,2.402586,false
gamify B2C blockchains Paris 16,INDEPENDENT_SPACE,16,2,600,48.867712,2.273110,false
optimize distributed markets Paris 15,OPEN_SPACE,15,39,1050,48.837876,2.301681,false
unleash transparent large language models Paris 18,PRIVATE_OFFICE,18,7,1700,48.894055,2.344059,false
transform rich applications Paris 14,OPEN_SPACE,14,35,500,48.832250,2.327195,true
engage open-source synergies Paris 3,OPEN_SPACE,3,28,950,48.861901,2.362055,false
evolve generative mindshare Paris 17,INDEPENDENT_SPACE,17,1,700,48.881243,2.321934,true
generate decentralized solutions Paris 5,INDEPENDENT_SPACE,5,4,650,48.847089,2.346781,true
integrate open-source convergence Paris 17,INDEPENDENT_SPACE,17,5,750,48.880066,2.323771,true
utilize bleeding-edge experiences Paris 4,PRIVATE_OFFICE,4,3,1400,48.856762,2.352156,true
whiteboard B2B solutions Paris 20,OPEN_SPACE,20,50,550,48.863485,2.399773,true
revolutionize quantum blockchains Paris 6,PRIVATE_OFFICE,6,1,2000,48.856657,2.332442,true
deploy proactive technologies Paris 15,PRIVATE_OFFICE,15,7,900,48.837518,2.300337,false
exploit immersive initiatives Paris 5,INDEPENDENT_SPACE,5,1,600,48.846716,2.345941,false